[252.9902, 304.57568;
 296.70087, 271.50262;
 285.16559, 261.26752;
 287.65961, 267.01694;
 229.87445, 279.37845;
 239.39372, 278.96591;
 282.61484, 264.15128;
 253.78392, 274.32074;
 284.55804, 263.52771;
 241.21617, 279.54327;
 317.73642, 276.0087;
 296.40561, 276.52698;
 292.23865, 276.61017;
 286.20468, 268.54016;
 301.91522, 281.03076;
 232.03462, 301.04453;
 240.13414, 307.72421;
 335.0033, 293.00519;
 236.26355, 265.61789;
 213.5849, 293.22064;
 326.16354, 289.96231;
 272.3266, 272.8028;
 301.93719, 279.65771;
 294.33719, 272.55518;
 287.15869, 274.36462;
 315.94827, 296.60849;
 276.98199, 273.26395;
 288.93457, 282.76389;
 270.56448, 275.30554;
 275.26846, 287.30624;
 284.79437, 275.26807;
 268.15982, 280.20926;
 313.90527, 288.47556;
 278.84271, 356.07162;
 294.79803, 354.07101;
 284.62735, 356.1947;
 206.51598, 294.42783;
 220.38516, 295.0376;
 219.37097, 297.61581;
 215.92072, 295.32382;
 222.07938, 302.45346;
 213.28555, 292.83017;
 286.76572, 354.18079;
 284.26416, 361.08508;
 285.0191, 370.25751;
 219.46858, 298.97684;
 226.45444, 305.54691;
 254.93295, 332.59268;
 267.9501, 362.44101;
 295.64941, 363.96982;
 212.69203, 297.47824;
 248.58568, 330.22302;
 285.08615, 359.42923;
 227.04028, 303.76508;
 322.65579, 350.74866;
 267.92392, 358.25015;
 267.87637, 358.71887;
 262.18869, 348.58591;
 208.78642, 298.53577;
 257.00525, 347.85834;
 203.87701, 293.96719;
 210.55115, 295.89471;
 212.35648, 299.74576;
 231.51184, 316.07449;
 223.90453, 308.64746;
 237.63959, 325.47723;
 261.53299, 356.34805;
 253.79155, 348.67264;
 217.67574, 293.91226;
 215.7419, 295.27716;
 271.78156, 366.55939;
 264.27002, 357.79962;
 274.27979, 368.59122;
 229.10594, 291.03354;
 239.62311, 295.78555;
 221.9433, 312.62985;
 234.06735, 311.81305;
 229.23764, 286.86679;
 280.05389, 366.91226;
 270.97534, 338.78647;
 263.04541, 328.88715;
 257.96442, 337.57202;
 237.5701, 305.89532;
 250.69356, 276.67374;
 235.08171, 291.9592;
 241.97035, 320.01324;
 248.3027, 329.62686;
 238.29141, 287.17075;
 226.98433, 304.10971;
 250.01198, 316.7702;
 254.71011, 332.14499;
 246.68404, 323.20917;
 212.11122, 293.12714;
 267.67755, 346.63046;
 286.90784, 368.19812;
 313.16995, 334.08057;
 270.77936, 289.01547;
 248.95795, 287.72464;
 274.67441, 282.56021;
 262.92422, 282.72894;
 245.0724, 288.60504;
 245.14059, 281.58603;
 334.9313, 350.2702;
 343.319, 341.79971;
 329.58539, 354.23206;
 261.40512, 281.90942;
 257.02908, 278.34067;
 271.39978, 272.65497;
 267.01657, 293.43323;
 267.18048, 285.57166;
 318.0899, 358.54611;
 256.35605, 341.79984;
 220.89647, 322.85291;
 244.84837, 293.91208;
 214.9174, 303.63782;
 324.15359, 342.93793;
 299.8298, 354.13229;
 244.82207, 336.85376;
 297.64484, 359.50943;
 344.836, 339.16519;
 350.81641, 342.67682;
 351.60727, 340.07803;
 313.39667, 293.84448;
 304.81573, 286.77179;
 333.58237, 307.13116;
 311.99484, 299.36292;
 304.48215, 360.28537;
 269.46243, 359.00638;
 369.68137, 327.89478;
 352.80872, 344.82248;
 367.41602, 337.15588;
 325.65994, 336.00674;
 302.51575, 292.78888;
 322.54376, 319.73199;
 296.00824, 295.20465;
 320.53311, 353.34921;
 336.6066, 345.85168;
 224.09309, 291.71445;
 245.37027, 313.41449;
 233.97281, 292.97705;
 259.65186, 349.4147;
 255.5714, 357.51349;
 297.4469, 279.73065;
 277.397, 277.50049;
 336.73138, 322.99832;
 310.23386, 342.73837;
 338.25949, 338.15234;
 355.76111, 327.13153;
 367.65796, 326.98343;
 321.59363, 348.81982;
 362.40863, 331.88348;
 242.26463, 283.40854;
 324.14438, 299.3945;
 307.43427, 295.7663;
 302.3479, 282.99734;
 255.67085, 285.55823;
 290.90463, 282.03528;
 280.21371, 281.52286;
 269.52954, 280.74756;
 283.55176, 358.09778;
 348.17969, 328.67227;
 320.08682, 309.51056;
 370.79977, 329.18759;
 368.77579, 328.25174;
 366.0126, 337.76535;
 345.02017, 313.13715;
 329.43063, 306.40509;
 278.7948, 273.48447;
 275.01755, 270.69342;
 342.12173, 322.68677;
 286.11612, 279.62109;
 289.11368, 274.05093;
 304.07556, 274.46448;
 311.74686, 280.86014;
 311.61841, 312.90213;
 311.51093, 317.06564;
 340.40762, 330.164;
 352.73312, 332.46396;
 312.12289, 363.83643;
 329.89667, 346.99139;
 358.82672, 318.68637;
 354.00226, 331.40253;
 337.89545, 345.09897;
 332.17065, 351.0455;
 361.88943, 329.31216;
 256.27118, 278.27142;
 353.03278, 314.8591;
 340.46265, 309.90234;
 228.01353, 299.80551;
 331.54523, 337.75867;
